Punto_gps prod_impr tamaño detalle color lote
1498 p m ok 3 5
1499 p m ok 3 5
1500 p g ok 3 5
1501 np v er 0 5
1502 p g ok 3 5
1503 p g ok 3 5
1504 np p r2 3 5
1505 np p r2 3 5
1506 np p ok 3 5
1507 p m am 2 5
1508 np m am 2 5
1509 p m am 2 5
1510 p g am 2 5
1511 np p z0.5 3 5
1512 np p z0.5 2 5
1513 p m ok 3 5
1514 np g am 2 5
1515 np v er 0 5
1516 p m ok 3 5
1517 p m am 3 5
1518 np v er 0 5
1519 np m am 2 5
1520 p m ok 3 5
1521 np m ok 3 5
1522 p m am 2 5
1523 np v er 0 5
1524 np v er 0 5
1525 np v er 0 5
1526 np v er 0 5
1527 np p ok 3 5
1528 np p am 2 5
1529 p m am 2 5
1530 p p am 1 5
1531 np p am 1 5
1532 np v er 0 5
1533 np v er 0 5
1534 np v er 0 5
1535 p m am 2 5
1536 p m ok 3 5
1537 np p z0.5 3 5
1538 np m am 2 5
1539 p m ok 3 5
1540 p m am 2 5
1541 np p am 2 5
1542 np p z0.5 1 5
1543 np p z0.5 1 5
1544 np v er 0 5
1545 np p am 2 5
1546 np v er 0 5
1547 np m ok 3 5
1547 np v er 0 5
1548 np p z1 2 5
1550 np p ok 3 5
1551 p g ok 3 5
1552 p g ok 3 5
1553 np p ok 3 5
1554 np v er 0 5
1555 p m am 2 5
1556 np p ok 1 5
1557 p m ok 3 5
1558 p m ok 3 5
1559 np p am 2 5
1560 np p r1 3 5
1561 p m ok 3  5

































